NomeTimeCasa;PlacarTimeCasa;NomeTimeVisitante;PlacarTimeVisitante;Rodada;DataHoraJogo
Figueirense - SC;0;Botafogo - RJ;2;32;24/10/2012 22:00
Fluminense - RJ;2;Coritiba - PR;1;33;25/10/2012 21:00
Santos - SP;0;Náutico - PE;0;33;25/10/2012 21:00
Ponte Preta - SP;1;Cruzeiro - MG;0;33;25/10/2012 21:00
Corinthians - SP;1;Vasco da Gama - RJ;0;33;27/10/2012 16:20
Internacional - RS;2;Palmeiras - SP;1;33;27/10/2012 16:20
Botafogo - RJ;4;Atlético - GO;0;33;27/10/2012 18:30
Figueirense - SC;0;Portuguesa - SP;0;33;27/10/2012 18:30
Sport - PE;2;São Paulo - SP;4;33;27/10/2012 18:30
Bahia - BA;1;Grêmio - RS;1;33;27/10/2012 18:30
Atlético - MG;1;Flamengo - RJ;1;33;31/10/2012 21:50
Grêmio - RS;1;Ponte Preta - SP;0;34;03/11/2012 19:30
Cruzeiro - MG;0;Santos - SP;4;34;03/11/2012 19:30
Flamengo - RJ;1;Figueirense - SC;0;34;03/11/2012 21:00
Atlético - GO;0;Corinthians - SP;2;34;04/11/2012 17:00
Vasco da Gama - RJ;0;Sport - PE;3;34;04/11/2012 17:00
São Paulo - SP;1;Fluminense - RJ;1;34;04/11/2012 17:00
Palmeiras - SP;2;Botafogo - RJ;2;34;04/11/2012 17:00
Portuguesa - SP;0;Bahia - BA;1;34;04/11/2012 19:30
Coritiba - PR;1;Atlético - MG;0;34;04/11/2012 19:30
Náutico - PE;3;Internacional - RS;0;34;04/11/2012 19:30
Botafogo - RJ;3;Portuguesa - SP;0;35;10/11/2012 19:30
Atlético - GO;2;Santos - SP;1;35;10/11/2012 19:30
Corinthians - SP;5;Coritiba - PR;1;35;10/11/2012 21:00
Vasco da Gama - RJ;1;Atlético - MG;1;35;11/11/2012 17:00
Palmeiras - SP;2;Fluminense - RJ;3;35;11/11/2012 17:00
Grêmio - RS;2;São Paulo - SP;1;35;11/11/2012 17:00
Náutico - PE;0;Flamengo - RJ;1;35;11/11/2012 19:30
Ponte Preta - SP;1;Internacional - RS;0;35;11/11/2012 19:30
Figueirense - SC;1;Sport - PE;1;35;11/11/2012 19:30
Cruzeiro - MG;3;Bahia - BA;1;35;11/11/2012 19:30
Santos - SP;2;Figueirense - SC;0;36;17/11/2012 19:30
Coritiba - PR;1;Vasco da Gama - RJ;2;36;17/11/2012 19:30
Flamengo - RJ;1;Palmeiras - SP;1;36;18/11/2012 17:00
Fluminense - RJ;0;Cruzeiro - MG;2;36;18/11/2012 17:00
São Paulo - SP;2;Náutico - PE;1;36;18/11/2012 17:00
Atlético - MG;2;Atlético - GO;2;36;18/11/2012 17:00
Bahia - BA;1;Ponte Preta - SP;0;36;18/11/2012 17:00
Sport - PE;2;Botafogo - RJ;0;36;18/11/2012 19:30
Internacional - RS;0;Corinthians - SP;2;36;18/11/2012 19:30
Portuguesa - SP;2;Grêmio - RS;2;36;18/11/2012 19:30
Corinthians - SP;1;Santos - SP;1;37;24/11/2012 19:30
Vasco da Gama - RJ;1;Flamengo - RJ;1;37;24/11/2012 19:30
Ponte Preta - SP;0;São Paulo - SP;0;37;25/11/2012 17:00
Sport - PE;1;Fluminense - RJ;1;37;25/11/2012 17:00
Figueirense - SC;2;Grêmio - RS;4;37;25/11/2012 17:00
Bahia - BA;1;Náutico - PE;1;37;25/11/2012 17:00
Cruzeiro - MG;2;Coritiba - PR;1;37;25/11/2012 17:00
Internacional - RS;0;Portuguesa - SP;2;37;25/11/2012 17:00
Palmeiras - SP;1;Atlético - GO;2;37;25/11/2012 17:00
Botafogo - RJ;2;Atlético - MG;3;37;25/11/2012 17:00
Flamengo - RJ;2;Botafogo - RJ;2;38;01/12/2012 19:30
Santos - SP;3;Palmeiras - SP;1;38;01/12/2012 19:30
Fluminense - RJ;1;Vasco da Gama - RJ;2;38;02/12/2012 17:00
São Paulo - SP;3;Corinthians - SP;1;38;02/12/2012 17:00
Grêmio - RS;0;Internacional - RS;0;38;02/12/2012 17:00
Atlético - MG;3;Cruzeiro - MG;2;38;02/12/2012 17:00
Portuguesa - SP;0;Ponte Preta - SP;0;38;02/12/2012 17:00
Coritiba - PR;3;Figueirense - SC;0;38;02/12/2012 17:00
